,date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
488,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,2,4719.024,3175.12354,543,5,DouYuTV-SeaL,1966.427,2,1
489,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,0,4105.36865,3281.059,156,1,MeLeeXH,1966.427,2,1
441,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,1669.54529,2544.00024,299,4,TONGLIANGZHI,1201.358,3,10
442,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,2,1.97267818,4026.417,516,2,Summertime333,1201.361,3,10
443,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,1,0.0,3842.8562,457,3,TedHQW,1966.287,4,2
444,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,2,0.0,3525.53369,325,4,FantasticBoys,1518.26,4,2
491,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,161.1016,0,0,34DTrueDamage,125.764,5,31
490,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,78.05448,366.673737,206,2,nide2Bxiaojiejie,215.627,5,31
402,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,391.711945,57.9005,100,0,KCannon98,158.216,6,33
403,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,364.937622,75,1,X3evolution,193.887,6,33
404,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,0,0.0,3843.14,51,0,Kroy2005,1539.1229999999996,7,6
405,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,4047.42554,156,2,IdiotWHJ,1559.906,7,6
445,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,2.0280416,63,0,OmGiTzPauly,89.634,8,47
446,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,0,0.0,35.78527000000001,12,0,BergerBoi,97.196,8,47
407,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,257.12536600000004,313,3,WalrusInHeat,406.72,10,23
406,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,162.5079,0,0,Thee_Milk_Man,247.826,10,23
466,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,1223.46948,903.7684,156,1,Daerljgodi,612.197,11,20
467,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,1242.23914,830.8831,16,0,LittleMoustache,564.906,11,20
408,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,69.86159520000001,0,0,BNOISE,137.168,12,38
409,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,15.5306978,47,0,BigBeefyy,111.271,12,38
468,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,154.91124,144,1,WellSuited,169.817,13,35
469,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,67.80915999999999,67,0,heavychevyz7197,144.607,13,35
410,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,3792.11523,2298.72949,75,1,Solayuki1,1244.636,14,9
411,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,4287.497,1924.98364,111,1,Weirdo7777,1244.531,14,9
413,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,5002.4917,2084.32373,4,0,DjmikeC25,1168.533,15,11
412,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,4997.77051,2129.49585,4,0,BuckFutt22,1181.701,15,11
415,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,63.57423000000001,200,2,xiaogao13,163.877,16,27
414,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,119.204407,56,1,WuGangFeng,256.448,16,27
417,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,1,0.0,1623.34924,364,2,Piece_of_Sht,985.847,17,14
416,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,2,0.0,1396.28455,180,2,UrGrandFather,935.365,17,14
470,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,38.67196,0,0,Dszs,102.082,18,44
471,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,34.67543,218,1,Bookinga,105.177,18,44
473,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,37.2884026,45,0,Ninjakirby,127.038,19,42
472,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,49.1689644,100,1,ImSoPhamcy,127.041,19,42
448,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,91.9659348,82,0,Unity_Yi,167.632,20,36
447,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,153.580719,0,0,Newblacen,167.635,20,36
449,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,1821.64856,1763.8731699999996,56,0,Vjolt,1018.454,21,13
450,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,613.4871,3039.45435,16,0,BlackDpre,1018.451,21,13
418,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,2,0.0,525.9927,357,3,NET_MANHDUNG2,551.821,22,21
419,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,1,0,0.0,638.256836,122,0,Games_414_TQ1,552.862,22,21
421,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,358.742584,374,3,Alexande-999,361.343,23,25
420,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,369.42453,33,1,g0f55,361.346,23,25
451,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,0.0,0,0,PurplePenguin9,123.103,24,47
452,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,0.0,0,0,patrickmoneyy,139.518,24,47
422,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,867.56604,1612.05115,143,1,pdfjkkvjk,1083.44,25,12
424,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,67.61333,0,0,dinkeing,126.066,26,41
423,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,0,0.0,107.830711,0,0,Sichuanxlg,131.57,26,41
426,2018-01-07T03:45:01+0000,47,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,tpp,2,0,1,0.0,410.543762,300,3,xuezhiqian717,879.2719999999998,27,26
