,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
8,S686,Jingchita,40.0,370990.6,424074.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,89,OmGiTzPauly,47.0,370761.1,423662.1
45,S686,Ascholes,43.0,367649.3,421192.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,96,NorthernGriz,46.0,368288.5,421208.9
19,S12K,Bookinga,44.0,371186.5,423791.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,97,BergerBoi,47.0,371092.2,423650.7
58,Micro UZI,NoParkingHere,30.0,366649.1,424968.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,102,Dszs,44.0,366968.4,425042.9
2,S686,Ascholes,43.0,366921.4,421623.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,CtrlZee,46.0,367304.5,421216.1
51,S686,LowGe,3.0,371549.9,423493.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,SADEX,45.0,371355.5,423288.6
39,Down and Out,AbelZz,40.0,369005.9,424291.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,1000level,45.0,367875.0,424299.3
21,S686,AbelZz,40.0,369312.9,423919.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,105,Bookinga,44.0,370673.2,423840.2
11,P92,Daerljgodi,20.0,365983.6,439563.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,111,BigBeefyy,38.0,366246.5,439890.6
70,AKM,Alexande-999,25.0,369184.6,421062.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,113,MoNKeY203tG,43.0,368332.0,421274.5
