timestep,DouYuTV-SeaL,OmGiTzPauly,NorthernGriz,BergerBoi,Dszs,CtrlZee,SADEX,1000level,Bookinga,BigBeefyy,MoNKeY203tG,Ascholes,PurplePenguin9,34DTrueDamage,dinkeing,ImSoPhamcy,Ninjakirby,Sichuanxlg,Jingchita,AbelZz,xXtentacionXx,BNOISE,patrickmoneyy,heavychevyz7197,KCannon98,lzuizhengui0818,xiaogao13,Haten-Gu,Newblacen,Unity_Yi,WellSuited,HKR-iNexxT,A_Araujo,X3evolution,NoParkingHere,Sugar_Booger423,nide2Bxiaojiejie,Northidaho,zhuyi1993,ZZTYSR,SBSB123,Thee_Milk_Man,WuGangFeng,jinze,PPPIGFEET,g0f55,Alexande-999,Facktk,china_lml520ad,WalrusInHeat,HandsomeBi,FreshMelonBalls,NET_MANHDUNG2,Games_414_TQ1,LittleMoustache,SuccMeOffSki,Daerljgodi,SAOZISHUIZHENDUO,Corleone_Wu,LuToRious,chenpan007,Pis22,KrazyPortuguese,xuezhiqian717,WOJIAOLIGUAPI,Dinostoned,JoeyJoeman,UrGrandFather,Piece_of_Sht,Hcl211,BlackDpre,Vjolt,pdfjkkvjk,DjmikeC25,BuckFutt22,Summertime333,TONGLIANGZHI,Solayuki1,Weirdo7777,NameLessisME,ZachOnTitan,Reesman22,FantasticBoys,Kroy2005,IdiotWHJ,EnGliSh22,98888888kK,zd1994925,JoyFeng-,LowGe,TedHQW
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.5621765008857981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5626354082771688,0.5626354082771688,0.0,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.5621765008857981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.5626354082771688,0.5626354082771688,0.0,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.5621765008857981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.5626354082771688,0.5626354082771688,0.0,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.5621765008857981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49129751599078575,0.0,0.0,0.49129751599078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.6934641359268188,0.6934641359268188,0.0,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.5621765008857981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49129751599078575,0.0,0.0,0.49129751599078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.6934641359268188,0.6934641359268188,0.0,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.5621765008857981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49129751599078575,0.0,0.0,0.49129751599078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630942084850514,0.5630942084850514,0.0
103.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.6934641359268188,0.6934641359268188,0.0,0.0,0.0,0.0,0.0,0.0,0.6933665765756694,0.6933665765756694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49129751599078575,0.0,0.0,0.49129751599078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630942084850514,0.5630942084850514,0.0
105.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.6934641359268188,0.6934641359268188,0.0,0.0,0.0,0.0,0.0,0.0,0.6587556702801264,0.6587556702801264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49129751599078575,0.0,0.0,0.49129751599078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630942084850514,0.5630942084850514,0.0
111.0,0.0,0.0,0.0,0.0,0.5627009577439928,0.0,0.0,0.0,0.5627009577439928,0.0,0.6934641359268188,0.6934641359268188,0.0,0.0,0.0,0.0,0.0,0.0,0.6587556702801264,0.6587556702801264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49129751599078575,0.0,0.0,0.49129751599078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563618419360047,0.0,0.563618419360047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630942084850514,0.5630942084850514,0.0
